,p_pas,f_pas,t_pas,r_pas,vpip_tight,small_pot_size,win_per_hand,win_per_hand_involve
174,1,0,0,0,1,0,0,0
175,0,0,0,0,0,1,0,1
176,0,0,1,0,0,1,0,0
177,1,0,0,0,0,0,1,1
178,0,0,1,1,1,0,1,1
179,1,1,0,0,1,1,1,1
180,1,1,0,0,1,0,1,1
181,0,1,1,1,1,1,1,1
182,1,1,1,1,1,1,1,1
183,1,0,1,0,1,0,1,1
184,0,1,0,0,1,1,0,0
185,0,1,0,1,1,1,1,1
186,0,0,1,0,1,0,0,0
187,1,1,1,1,1,1,1,1
188,1,1,0,0,1,1,0,1
189,0,1,1,1,0,1,0,0
190,1,0,0,0,0,0,1,1
191,1,1,1,1,1,0,1,1
192,0,0,0,0,0,0,0,0
193,1,1,0,0,1,0,1,1
194,0,1,1,1,1,1,0,1
195,1,1,1,1,1,0,1,1
196,0,0,0,0,0,1,0,0
197,0,1,1,0,1,1,0,0
198,1,1,1,1,1,1,1,1
199,1,1,1,1,1,0,1,1
200,1,0,0,0,0,0,0,0
201,0,0,0,1,1,1,0,0
202,0,1,1,1,1,1,0,0
203,1,1,0,1,1,1,0,0
204,1,0,0,0,1,0,1,1
205,1,0,0,0,1,0,1,1
206,0,0,0,0,0,1,0,0
207,1,0,0,0,1,1,0,0
