,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
CgGwc8YEfQSGAWGFMmxWxA,7464,1790.0,21982.66,27234.04,-5251.380000000001,-0.7035610932475885,2128,4407,0.28510182207931406,0.4061719990923531,12.2808156424581,0.24263129689174706,-1.1915997277059227,5.07556270096463,1.245042872454448,0.227491961414791,0.009110396570203644,0.00482315112540193,0.0012057877813504824
CDetvT4g6S8jOSWgtzSf7g,7295,783.0,12486.569999999998,15344.710000000003,-2858.140000000005,-0.39179437971213227,1142,2732,0.15654557916381082,0.2866032210834553,15.947088122605361,0.1251542152159013,-1.0461713030746724,7.984921178889651,1.7957505140507197,0.11925976696367376,0.00411240575736806,0.0006854009595613434,0.0010966415352981493
yUJre1JsoGcxkZTXdzSXEQ,6915,612.0,8826.4,9765.189999999999,-938.789999999999,-0.1357613882863339,1147,2241,0.1658712942877802,0.27309236947791166,14.422222222222222,0.07794649313087491,-0.418915662650602,8.512075198843094,1.7855386840202458,0.07057122198120029,0.004193781634128706,0.0021691973969631237,0.001012292118582791
GMdM9fVK5CwO/31pjnWvVw,6756,590.0,9413.749999999998,10939.64,-1525.8900000000012,-0.22585701598579058,1123,2448,0.1662226169330965,0.24101307189542484,15.955508474576268,0.1179692125518058,-0.6233210784313731,8.539076376554174,1.8579040852575488,0.11116044997039669,0.004884547069271759,0.0013321492007104796,0.0005920663114268798
JWnQxO7IhQhbwFc/A9mIFA,6714,630.0,8815.149999999998,12884.19,-4069.0400000000027,-0.6060530235329167,1159,2518,0.1726243669943402,0.25019857029388404,13.992301587301585,0.10485552576705391,-1.6159809372517882,8.254095918975276,1.8090557044980637,0.09294012511170688,0.005957700327673518,0.004766160262138814,0.0011915400655347036
WbyFTZtHE6doaricbG4ebg,6294,1621.0,29107.309999999998,31661.809999999994,-2554.4999999999964,-0.4058627264061005,2444,3806,0.3883063234826819,0.4259064634787178,17.956391116594695,0.2969494756911344,-0.6711770888071457,5.2893231649189705,1.2532570702256116,0.2780425802351446,0.012392755004766444,0.004766444232602479,0.0017476962186209089
N2yoKn8LBJ/tszjmMAFCnQ,5993,978.0,14346.909999999998,16640.359999999997,-2293.449999999999,-0.38268813615885183,1437,3215,0.23977974303353913,0.304199066874028,14.669642126789364,0.19172367762389456,-0.713359253499222,5.398464875688303,1.4346737860837644,0.18187885866844652,0.006507592190889371,0.0018354747205072584,0.0015017520440513933
MYqGtE3bIgFP/Tdzh/7/pA,5959,515.0,7117.09,7840.55,-723.46,-0.12140627622084244,1022,2078,0.17150528612183252,0.2478344562078922,13.81959223300971,0.08004698774962242,-0.3481520692974014,8.413995636851821,1.8575264306091626,0.07316663869776809,0.005202215136767914,0.0010068803490518544,0.0006712535660345696
D349ibaQPCHK2sz5DLUXfA,5906,665.0,12115.26,13530.690000000002,-1415.430000000002,-0.23965966813410128,1366,2127,0.2312902133423637,0.3126469205453691,18.218436090225563,0.0745005079580088,-0.6654583921015524,8.389095834744328,1.9952590585844903,0.056044700304774805,0.014392143582797156,0.0030477480528276328,0.001015916017609211
EL56pDqJIH50UlBT0W57lw,5797,982.0,16524.03,22640.96,-6116.93,-1.055188890805589,1364,2936,0.23529411764705882,0.33446866485013627,16.82691446028513,0.19389339313437984,-2.083423024523161,5.501121269622218,1.370363981369674,0.18164567879937898,0.007935138864930136,0.002932551319648094,0.0013800241504226323
